セットID,セット名,ブランド名,モデル年,参考価格,対象ユーザー層,セットの特徴・コンセプト,推奨度,クラブ種別,クラブ名,ロフト角,シャフト名・素材,フレックス,長さ,ライ角,クラブ重量,ヘッド素材,シャフト重量,グリップ名,単品価格,ブランドロゴ画像ファイル名,発売日,公式商品ページURL,商品画像URL,備考
,Diamana BF SERIES 50,Titleist,,,,,,ドライバー,Diamana BF SERIES 50,8.5,S,8.5,313,58.5,57.5,,5,,,titleist.svg,,,,
,Diamana BF SERIES 60,Titleist,,,,,,ドライバー,Diamana BF SERIES 60,8.5,S,8.5,320,58.5,65.5,,3.9,,,titleist.svg,,,,
,Diamana BF SERIES 70,Titleist,,,,,,ドライバー,Diamana BF SERIES 70,8.5,S,8.5,328,58.5,73.5,,3.4,,,titleist.svg,,,,
,Speeder EVOLUTION III SERIES 569,Titleist,,,,,,ドライバー,Speeder EVOLUTION III SERIES 569,8.5,S,8.5,313,58.5,59,,4.4,,,titleist.svg,,,,
,Speeder EVOLUTION III SERIES 661,Titleist,,,,,,ドライバー,Speeder EVOLUTION III SERIES 661,8.5,S,8.5,319,58.5,66.5,,3.7,,,titleist.svg,,,,
,Speeder EVOLUTION III SERIES 757,Titleist,,,,,,ドライバー,Speeder EVOLUTION III SERIES 757,8.5,S,8.5,328,58.5,75.5,,3,,,titleist.svg,,,,
,Tour AD TP SERIES 5,Titleist,,,,,,ドライバー,Tour AD TP SERIES 5,8.5,S,8.5,312,58.5,57,,4.4,,,titleist.svg,,,,
,Tour AD TP SERIES 6,Titleist,,,,,,ドライバー,Tour AD TP SERIES 6,8.5,S,8.5,320,58.5,65,,3.2,,,titleist.svg,,,,
,Tour AD TP SERIES 7,Titleist,,,,,,ドライバー,Tour AD TP SERIES 7,8.5,S,8.5,328,58.5,73,,3,,,titleist.svg,,,,
,ATTAS PUNCH SERIES 5,Titleist,,,,,,ドライバー,ATTAS PUNCH SERIES 5,8.5,S,8.5,312,58.5,57,,5.3,,,titleist.svg,,,,
,ATTAS PUNCH SERIES 6,Titleist,,,,,,ドライバー,ATTAS PUNCH SERIES 6,8.5,S,8.5,321,58.5,67,,4,,,titleist.svg,,,,
,ATTAS PUNCH SERIES 7,Titleist,,,,,,ドライバー,ATTAS PUNCH SERIES 7,8.5,S,8.5,330,58.5,77,,3,,,titleist.svg,,,,
,1W,Titleist,,,,,,ドライバー,1W,R,Titleist Speeder 517,R,45.5,9.5,303,,48,,,titleist.svg,,,,
,SR,Titleist,,,,,,ドライバー,SR,58.5,9.5,58.5,51,-,4.8,,先中調子,,,titleist.svg,,,,
,S,Titleist,,,,,,ドライバー,S,58.5,9.5,58.5,54,-,4.6,,先中調子,,,titleist.svg,,,,
,Diamana BF SERIES 50,Titleist,,,,,,ドライバー,Diamana BF SERIES 50,9.5,S,9.5,313,58.5,57.5,,5,,,titleist.svg,,,,
,Diamana BF SERIES 60,Titleist,,,,,,ドライバー,Diamana BF SERIES 60,9.5,S,9.5,320,58.5,65.5,,3.9,,,titleist.svg,,,,
,Diamana BF SERIES 70,Titleist,,,,,,ドライバー,Diamana BF SERIES 70,9.5,S,9.5,328,58.5,73.5,,3.4,,,titleist.svg,,,,
,Speeder EVOLUTION III SERIES 569,Titleist,,,,,,ドライバー,Speeder EVOLUTION III SERIES 569,9.5,S,9.5,313,58.5,59,,4.4,,,titleist.svg,,,,
,Speeder EVOLUTION III SERIES 661,Titleist,,,,,,ドライバー,Speeder EVOLUTION III SERIES 661,9.5,S,9.5,319,58.5,66.5,,3.7,,,titleist.svg,,,,
,Speeder EVOLUTION III SERIES 757,Titleist,,,,,,ドライバー,Speeder EVOLUTION III SERIES 757,9.5,S,9.5,328,58.5,75.5,,3,,,titleist.svg,,,,
,Tour AD TP SERIES 5,Titleist,,,,,,ドライバー,Tour AD TP SERIES 5,9.5,S,9.5,312,58.5,57,,4.4,,,titleist.svg,,,,
,Tour AD TP SERIES 6,Titleist,,,,,,ドライバー,Tour AD TP SERIES 6,9.5,S,9.5,320,58.5,65,,3.2,,,titleist.svg,,,,
,Tour AD TP SERIES 7,Titleist,,,,,,ドライバー,Tour AD TP SERIES 7,9.5,S,9.5,328,58.5,73,,3,,,titleist.svg,,,,
,ATTAS PUNCH SERIES 5,Titleist,,,,,,ドライバー,ATTAS PUNCH SERIES 5,9.5,S,9.5,312,58.5,57,,5.3,,,titleist.svg,,,,
,ATTAS PUNCH SERIES 6,Titleist,,,,,,ドライバー,ATTAS PUNCH SERIES 6,9.5,S,9.5,321,58.5,67,,4,,,titleist.svg,,,,
,ATTAS PUNCH SERIES 7,Titleist,,,,,,ドライバー,ATTAS PUNCH SERIES 7,9.5,S,9.5,330,58.5,77,,3,,,titleist.svg,,,,
,1W,Titleist,,,,,,ドライバー,1W,R,Titleist Speeder 517,R,45.5,10.5,303,,48,,,titleist.svg,,,,
,SR,Titleist,,,,,,ドライバー,SR,58.5,10.5,58.5,51,-,4.8,,先中調子,,,titleist.svg,,,,
,S,Titleist,,,,,,ドライバー,S,58.5,10.5,58.5,54,-,4.6,,先中調子,,,titleist.svg,,,,
,Diamana BF SERIES 50,Titleist,,,,,,ドライバー,Diamana BF SERIES 50,10.5,S,10.5,313,58.5,57.5,,5,,,titleist.svg,,,,
,Diamana BF SERIES 60,Titleist,,,,,,ドライバー,Diamana BF SERIES 60,10.5,S,10.5,320,58.5,65.5,,3.9,,,titleist.svg,,,,
,Diamana BF SERIES 70,Titleist,,,,,,ドライバー,Diamana BF SERIES 70,10.5,S,10.5,328,58.5,73.5,,3.4,,,titleist.svg,,,,
,Speeder EVOLUTION III SERIES 569,Titleist,,,,,,ドライバー,Speeder EVOLUTION III SERIES 569,10.5,S,10.5,313,58.5,59,,4.4,,,titleist.svg,,,,
,Speeder EVOLUTION III SERIES 661,Titleist,,,,,,ドライバー,Speeder EVOLUTION III SERIES 661,10.5,S,10.5,319,58.5,66.5,,3.7,,,titleist.svg,,,,
,Speeder EVOLUTION III SERIES 757,Titleist,,,,,,ドライバー,Speeder EVOLUTION III SERIES 757,10.5,S,10.5,328,58.5,75.5,,3,,,titleist.svg,,,,
,Tour AD TP SERIES 5,Titleist,,,,,,ドライバー,Tour AD TP SERIES 5,10.5,S,10.5,312,58.5,57,,4.4,,,titleist.svg,,,,
,Tour AD TP SERIES 6,Titleist,,,,,,ドライバー,Tour AD TP SERIES 6,10.5,S,10.5,320,58.5,65,,3.2,,,titleist.svg,,,,
,Tour AD TP SERIES 7,Titleist,,,,,,ドライバー,Tour AD TP SERIES 7,10.5,S,10.5,328,58.5,73,,3,,,titleist.svg,,,,
,ATTAS PUNCH SERIES 5,Titleist,,,,,,ドライバー,ATTAS PUNCH SERIES 5,10.5,S,10.5,312,58.5,57,,5.3,,,titleist.svg,,,,
,ATTAS PUNCH SERIES 6,Titleist,,,,,,ドライバー,ATTAS PUNCH SERIES 6,10.5,S,10.5,321,58.5,67,,4,,,titleist.svg,,,,
,ATTAS PUNCH SERIES 7,Titleist,,,,,,ドライバー,ATTAS PUNCH SERIES 7,10.5,S,10.5,330,58.5,77,,3,,,titleist.svg,,,,
,タイトリスト,Titleist,2016,,,,,ドライバー,タイトリスト,ドライバー,タイトリスト,ドライバー,スペックを見る »,SLEルール： 適合,このクラブの価格はこちら »,,1W,,,titleist.svg,2016年10月,https://golfnavi.infohttps://golfnavi.info?p=14132,,
,タイトリスト,Titleist,,,,,,ドライバー,タイトリスト,SLEルール： 適合,ドライバー,SLEルール： 適合,,,,,,,,titleist.svg,,,,
,,Titleist,,,,,,ドライバー,,発売時期：2016年10月,"917D3 ドライバー





発売時期：2016年10月

スペックを見る »



このクラブの価格はこちら »",発売時期：2016年10月,,スペックを見る »,,,,,,titleist.svg,,,,
,発売時期：2016年10月,Titleist,2016,,,,,ドライバー,発売時期：2016年10月,,スペックを見る »,,,,,,,,,titleist.svg,2016年10月,,,
,このクラブの価格はこちら »,Titleist,,,,,,ドライバー,このクラブの価格はこちら »,,,,,,,,,,,titleist.svg,,https://golfnavi.infohttps://golfnavi.info/price/14132,,
,SR,Titleist,,,,,,ドライバー,SR,58.5,8.5,58.5,51,-,4.8,,先中調子,,,titleist.svg,,,,
,S,Titleist,,,,,,ドライバー,S,58.5,8.5,58.5,54,-,4.6,,先中調子,,,titleist.svg,,,,
,Diamana BF SERIES 50,Titleist,,,,,,ドライバー,Diamana BF SERIES 50,8.5,S,8.5,313,58.5,57.5,,5,,,titleist.svg,,,,
,Diamana BF SERIES 60,Titleist,,,,,,ドライバー,Diamana BF SERIES 60,8.5,S,8.5,320,58.5,65.5,,3.9,,,titleist.svg,,,,
,Diamana BF SERIES 70,Titleist,,,,,,ドライバー,Diamana BF SERIES 70,8.5,S,8.5,328,58.5,73.5,,3.4,,,titleist.svg,,,,
,Speeder EVOLUTION III SERIES 569,Titleist,,,,,,ドライバー,Speeder EVOLUTION III SERIES 569,8.5,S,8.5,313,58.5,59,,4.4,,,titleist.svg,,,,
,Speeder EVOLUTION III SERIES 661,Titleist,,,,,,ドライバー,Speeder EVOLUTION III SERIES 661,8.5,S,8.5,319,58.5,66.5,,3.7,,,titleist.svg,,,,
,Speeder EVOLUTION III SERIES 757,Titleist,,,,,,ドライバー,Speeder EVOLUTION III SERIES 757,8.5,S,8.5,328,58.5,75.5,,3,,,titleist.svg,,,,
,Tour AD TP SERIES 5,Titleist,,,,,,ドライバー,Tour AD TP SERIES 5,8.5,S,8.5,312,58.5,57,,4.4,,,titleist.svg,,,,
,Tour AD TP SERIES 6,Titleist,,,,,,ドライバー,Tour AD TP SERIES 6,8.5,S,8.5,320,58.5,65,,3.2,,,titleist.svg,,,,
,Tour AD TP SERIES 7,Titleist,,,,,,ドライバー,Tour AD TP SERIES 7,8.5,S,8.5,328,58.5,73,,3,,,titleist.svg,,,,
,ATTAS PUNCH SERIES 5,Titleist,,,,,,ドライバー,ATTAS PUNCH SERIES 5,8.5,S,8.5,312,58.5,57,,5.3,,,titleist.svg,,,,
,ATTAS PUNCH SERIES 6,Titleist,,,,,,ドライバー,ATTAS PUNCH SERIES 6,8.5,S,8.5,321,58.5,67,,4,,,titleist.svg,,,,
,ATTAS PUNCH SERIES 7,Titleist,,,,,,ドライバー,ATTAS PUNCH SERIES 7,8.5,S,8.5,330,58.5,77,,3,,,titleist.svg,,,,
,1W,Titleist,,,,,,ドライバー,1W,R,Titleist Speeder 517,R,45.5,9.5,303,,48,,,titleist.svg,,,,
,SR,Titleist,,,,,,ドライバー,SR,58.5,9.5,58.5,51,-,4.8,,先中調子,,,titleist.svg,,,,
,S,Titleist,,,,,,ドライバー,S,58.5,9.5,58.5,54,-,4.6,,先中調子,,,titleist.svg,,,,
,Diamana BF SERIES 50,Titleist,,,,,,ドライバー,Diamana BF SERIES 50,9.5,S,9.5,313,58.5,57.5,,5,,,titleist.svg,,,,
,Diamana BF SERIES 60,Titleist,,,,,,ドライバー,Diamana BF SERIES 60,9.5,S,9.5,320,58.5,65.5,,3.9,,,titleist.svg,,,,
,Diamana BF SERIES 70,Titleist,,,,,,ドライバー,Diamana BF SERIES 70,9.5,S,9.5,328,58.5,73.5,,3.4,,,titleist.svg,,,,
,Speeder EVOLUTION III SERIES 569,Titleist,,,,,,ドライバー,Speeder EVOLUTION III SERIES 569,9.5,S,9.5,313,58.5,59,,4.4,,,titleist.svg,,,,
,Speeder EVOLUTION III SERIES 661,Titleist,,,,,,ドライバー,Speeder EVOLUTION III SERIES 661,9.5,S,9.5,319,58.5,66.5,,3.7,,,titleist.svg,,,,
,Speeder EVOLUTION III SERIES 757,Titleist,,,,,,ドライバー,Speeder EVOLUTION III SERIES 757,9.5,S,9.5,328,58.5,75.5,,3,,,titleist.svg,,,,
,Tour AD TP SERIES 5,Titleist,,,,,,ドライバー,Tour AD TP SERIES 5,9.5,S,9.5,312,58.5,57,,4.4,,,titleist.svg,,,,
,Tour AD TP SERIES 6,Titleist,,,,,,ドライバー,Tour AD TP SERIES 6,9.5,S,9.5,320,58.5,65,,3.2,,,titleist.svg,,,,
,Tour AD TP SERIES 7,Titleist,,,,,,ドライバー,Tour AD TP SERIES 7,9.5,S,9.5,328,58.5,73,,3,,,titleist.svg,,,,
,ATTAS PUNCH SERIES 5,Titleist,,,,,,ドライバー,ATTAS PUNCH SERIES 5,9.5,S,9.5,312,58.5,57,,5.3,,,titleist.svg,,,,
,ATTAS PUNCH SERIES 6,Titleist,,,,,,ドライバー,ATTAS PUNCH SERIES 6,9.5,S,9.5,321,58.5,67,,4,,,titleist.svg,,,,
,ATTAS PUNCH SERIES 7,Titleist,,,,,,ドライバー,ATTAS PUNCH SERIES 7,9.5,S,9.5,330,58.5,77,,3,,,titleist.svg,,,,
,1W,Titleist,,,,,,ドライバー,1W,R,Titleist Speeder 517,R,45.5,10.5,303,,48,,,titleist.svg,,,,
,SR,Titleist,,,,,,ドライバー,SR,58.5,10.5,58.5,51,-,4.8,,先中調子,,,titleist.svg,,,,
,S,Titleist,,,,,,ドライバー,S,58.5,10.5,58.5,54,-,4.6,,先中調子,,,titleist.svg,,,,
,Diamana BF SERIES 50,Titleist,,,,,,ドライバー,Diamana BF SERIES 50,10.5,S,10.5,313,58.5,57.5,,5,,,titleist.svg,,,,
,Diamana BF SERIES 60,Titleist,,,,,,ドライバー,Diamana BF SERIES 60,10.5,S,10.5,320,58.5,65.5,,3.9,,,titleist.svg,,,,
,Diamana BF SERIES 70,Titleist,,,,,,ドライバー,Diamana BF SERIES 70,10.5,S,10.5,328,58.5,73.5,,3.4,,,titleist.svg,,,,
,Speeder EVOLUTION III SERIES 569,Titleist,,,,,,ドライバー,Speeder EVOLUTION III SERIES 569,10.5,S,10.5,313,58.5,59,,4.4,,,titleist.svg,,,,
,Speeder EVOLUTION III SERIES 661,Titleist,,,,,,ドライバー,Speeder EVOLUTION III SERIES 661,10.5,S,10.5,319,58.5,66.5,,3.7,,,titleist.svg,,,,
,Speeder EVOLUTION III SERIES 757,Titleist,,,,,,ドライバー,Speeder EVOLUTION III SERIES 757,10.5,S,10.5,328,58.5,75.5,,3,,,titleist.svg,,,,
,Tour AD TP SERIES 5,Titleist,,,,,,ドライバー,Tour AD TP SERIES 5,10.5,S,10.5,312,58.5,57,,4.4,,,titleist.svg,,,,
,Tour AD TP SERIES 6,Titleist,,,,,,ドライバー,Tour AD TP SERIES 6,10.5,S,10.5,320,58.5,65,,3.2,,,titleist.svg,,,,
,Tour AD TP SERIES 7,Titleist,,,,,,ドライバー,Tour AD TP SERIES 7,10.5,S,10.5,328,58.5,73,,3,,,titleist.svg,,,,
,ATTAS PUNCH SERIES 5,Titleist,,,,,,ドライバー,ATTAS PUNCH SERIES 5,10.5,S,10.5,312,58.5,57,,5.3,,,titleist.svg,,,,
,ATTAS PUNCH SERIES 6,Titleist,,,,,,ドライバー,ATTAS PUNCH SERIES 6,10.5,S,10.5,321,58.5,67,,4,,,titleist.svg,,,,
,ATTAS PUNCH SERIES 7,Titleist,,,,,,ドライバー,ATTAS PUNCH SERIES 7,10.5,S,10.5,330,58.5,77,,3,,,titleist.svg,,,,
,"男性用
女性用",Titleist,,,,,,ドライバー,"男性用
女性用",,,,,,,,,,,titleist.svg,,,,
,"全てのメーカー
GTDゴルフ
jBEAM
RODDIO
S-YARD
SYB（サイブ／コンセプト）
つるやゴルフ
アキラプロダクツ
イオンスポーツ
ウィンバード
ウイルソン
エナ
エポン
カタナ
カムイ
キャスコ
キャロウェイ
クリーブランド
クルーズ
クレイジー
グランプリ
グローブライド（旧ダイワ）
コブラ
サソーグラインド
ジオテック
ジャスティック
タイトリスト
ダンロップ
テーラーメイド
ナイキ
パワービルト
ピン
フォレスタ
フォーティーン
ブリヂストン
プロギア
マグレガー
マルマン
ミズノ
ヤマハ
ヨネックス
リョーマゴルフ
ロイヤルコレクション
ロマロ
ワークス
三浦技研
本間ゴルフ",Titleist,,,,,,ドライバー,"全てのメーカー
GTDゴルフ
jBEAM
RODDIO
S-YARD
SYB（サイブ／コンセプト）
つるやゴルフ
アキラプロダクツ
イオンスポーツ
ウィンバード
ウイルソン
エナ
エポン
カタナ
カムイ
キャスコ
キャロウェイ
クリーブランド
クルーズ
クレイジー
グランプリ
グローブライド（旧ダイワ）
コブラ
サソーグラインド
ジオテック
ジャスティック
タイトリスト
ダンロップ
テーラーメイド
ナイキ
パワービルト
ピン
フォレスタ
フォーティーン
ブリヂストン
プロギア
マグレガー
マルマン
ミズノ
ヤマハ
ヨネックス
リョーマゴルフ
ロイヤルコレクション
ロマロ
ワークス
三浦技研
本間ゴルフ",,,,,,,,,,,titleist.svg,,,,
,"2025年
2024年
2023年
2022年
2021年
2020年
2019年
2018年
2017年
2016年
2015年
2014年
2013年
2012年
2011年
2010年
2009年
2008年
2007年
2006年
2005年
2004年
2003年
2002年
2000年
1998年
不明
絞り込み無し",Titleist,,,,,,ドライバー,"2025年
2024年
2023年
2022年
2021年
2020年
2019年
2018年
2017年
2016年
2015年
2014年
2013年
2012年
2011年
2010年
2009年
2008年
2007年
2006年
2005年
2004年
2003年
2002年
2000年
1998年
不明
絞り込み無し",,,,,,,,,,,titleist.svg,,,,
,"～7.99
8.0～8.99
9.0～9.99
10.0～10.99
11.0～11.99
12.0～12.99
  13.0～
選択なし",Titleist,,,,,,ドライバー,"～7.99
8.0～8.99
9.0～9.99
10.0～10.99
11.0～11.99
12.0～12.99
  13.0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～56.99
57.0～57.99
58.0～58.99
59.0～59.99
60.0～60.99
61.0～61.99
  62.0～
選択なし",Titleist,,,,,,ドライバー,"～56.99
57.0～57.99
58.0～58.99
59.0～59.99
60.0～60.99
61.0～61.99
  62.0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"フック
スクエア
オープン
選択なし",Titleist,,,,,,ドライバー,"フック
スクエア
オープン
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～379
380～399
400～419
420～429
430～439
440～449
450～459
  460
  461～
選択なし",Titleist,,,,,,ドライバー,"～379
380～399
400～419
420～429
430～439
440～449
450～459
  460
  461～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～43.99
44.0～44.49
44.5～44.99
45.0～45.24
45.25～45.49
45.5～45.74
45.75～45.99
46.0～46.49
46.5～46.99
  47.0～
選択なし",Titleist,,,,,,ドライバー,"～43.99
44.0～44.49
44.5～44.99
45.0～45.24
45.25～45.49
45.5～45.74
45.75～45.99
46.0～46.49
46.5～46.99
  47.0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～269
270～279
280～289
290～299
300～309
310～319
320～329
  330～
選択なし",Titleist,,,,,,ドライバー,"～269
270～279
280～289
290～299
300～309
310～319
320～329
  330～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～39
40～44
45～49
50～54
55～59
60～64
65～69
  70～
選択なし",Titleist,,,,,,ドライバー,"～39
40～44
45～49
50～54
55～59
60～64
65～69
  70～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～7
6.9～6.5
6.4～6
5.9～5.5
5.4～5
4.9～4.5
4.4～4
3.9～3.5
3.4～3
  2.9～
選択なし",Titleist,,,,,,ドライバー,"～7
6.9～6.5
6.4～6
5.9～5.5
5.4～5
4.9～4.5
4.4～4
3.9～3.5
3.4～3
  2.9～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"中調子
元調子
先調子
中元調子
中先調子
選択なし",Titleist,,,,,,ドライバー,"中調子
元調子
先調子
中元調子
中先調子
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～34
35～39
40～44
45～49
  50～
選択なし",Titleist,,,,,,ドライバー,"～34
35～39
40～44
45～49
  50～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～B9
C0～C4
C5～C9
D0～D4
D5～D9
  E0～
選択なし",Titleist,,,,,,ドライバー,"～B9
C0～C4
C5～C9
D0～D4
D5～D9
  E0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"LL
L
A
RR
R
SR
S
SS
X
XX
絞り込み無し",Titleist,,,,,,ドライバー,"LL
L
A
RR
R
SR
S
SS
X
XX
絞り込み無し",,,,,,,,,,,titleist.svg,,,,
,"ノーマル(洋ナシ型)
三角形型
四角形型
五角形型
コンケーブ型(凹みクラウン型)
選択なし",Titleist,,,,,,ドライバー,"ノーマル(洋ナシ型)
三角形型
四角形型
五角形型
コンケーブ型(凹みクラウン型)
選択なし",,,,,,,,,,,titleist.svg,,,,
,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
選択なし",Titleist,,,,,,ドライバー,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
選択なし",,,,,,,,,,,titleist.svg,,,,
,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
選択なし",Titleist,,,,,,ドライバー,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
選択なし",,,,,,,,,,,titleist.svg,,,,
,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
選択なし",Titleist,,,,,,ドライバー,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
選択なし",,,,,,,,,,,titleist.svg,,,,
,"鍛造
鋳造
選択なし",Titleist,,,,,,ドライバー,"鍛造
鋳造
選択なし",,,,,,,,,,,titleist.svg,,,,
,"日本
中国
台湾
韓国
フィリピン
タイ
アメリカ
マレーシア
ベトナム
ミャンマー
インドネシア
インド
カンボジア
オーストラリア
ニュージーランド
選択なし",Titleist,,,,,,ドライバー,"日本
中国
台湾
韓国
フィリピン
タイ
アメリカ
マレーシア
ベトナム
ミャンマー
インドネシア
インド
カンボジア
オーストラリア
ニュージーランド
選択なし",,,,,,,,,,,titleist.svg,,,,
,"2008年SLEルール適合
2008年SLEルール不適合
選択なし",Titleist,,,,,,ドライバー,"2008年SLEルール適合
2008年SLEルール不適合
選択なし",,,,,,,,,,,titleist.svg,,,,
,"ロフト角
ライ角
フェース角
フェースプログレッション
オフセット
ヘッド重量
ヘッド体積
バウンス角
クラブの長さ
クラブ重量
シャフト重量
トルク
キックポイント
推奨ヘッドスピード
バランス
振動数",Titleist,,,,,,ドライバー,"ロフト角
ライ角
フェース角
フェースプログレッション
オフセット
ヘッド重量
ヘッド体積
バウンス角
クラブの長さ
クラブ重量
シャフト重量
トルク
キックポイント
推奨ヘッドスピード
バランス
振動数",,,,,,,,,,,titleist.svg,,,,
,"男性用
女性用",Titleist,,,,,,ドライバー,"男性用
女性用",,,,,,,,,,,titleist.svg,,,,
,"全てのメーカー
jBEAM
S-YARD
SYB（サイブ／コンセプト）
つるやゴルフ
アキラプロダクツ
イオンスポーツ
ウィンバード
ウイルソン
エナ
エポン
カタナ
カムイ
キャスコ
キャロウェイ
クリーブランド
クルーズ
クレイジー
グローブライド（旧ダイワ）
コブラ
ジオテック
ジャスティック
タイトリスト
ダンロップ
テーラーメイド
ナイキ
パワービルト
ピン
フォレスタ
フォーティーン
ブリヂストン
プロギア
マグレガー
マルマン
ミズノ
ヤマハ
ヨネックス
リョーマゴルフ
ロイヤルコレクション
ロマロ
ワークス
三浦技研
本間ゴルフ",Titleist,,,,,,ドライバー,"全てのメーカー
jBEAM
S-YARD
SYB（サイブ／コンセプト）
つるやゴルフ
アキラプロダクツ
イオンスポーツ
ウィンバード
ウイルソン
エナ
エポン
カタナ
カムイ
キャスコ
キャロウェイ
クリーブランド
クルーズ
クレイジー
グローブライド（旧ダイワ）
コブラ
ジオテック
ジャスティック
タイトリスト
ダンロップ
テーラーメイド
ナイキ
パワービルト
ピン
フォレスタ
フォーティーン
ブリヂストン
プロギア
マグレガー
マルマン
ミズノ
ヤマハ
ヨネックス
リョーマゴルフ
ロイヤルコレクション
ロマロ
ワークス
三浦技研
本間ゴルフ",,,,,,,,,,,titleist.svg,,,,
,"2025年
2024年
2023年
2022年
2021年
2020年
2019年
2018年
2017年
2016年
2015年
2014年
2013年
2012年
2011年
2010年
2009年
2008年
2007年
2006年
2005年
2004年
2003年
2002年
不明
絞り込み無し",Titleist,,,,,,ドライバー,"2025年
2024年
2023年
2022年
2021年
2020年
2019年
2018年
2017年
2016年
2015年
2014年
2013年
2012年
2011年
2010年
2009年
2008年
2007年
2006年
2005年
2004年
2003年
2002年
不明
絞り込み無し",,,,,,,,,,,titleist.svg,,,,
,"2W
3W
4W
5W
6W
7W
8W
9W
選択なし",Titleist,,,,,,ドライバー,"2W
3W
4W
5W
6W
7W
8W
9W
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～13.99
14.0～14.99
15.0～15.99
16.0～16.99
17.0～17.99
18.0～18.99
19.0～19.99
20.0～20.99
21.0～21.99
22.0～22.99
23.0～23.99
24.0～24.99
  25.0～
選択なし",Titleist,,,,,,ドライバー,"～13.99
14.0～14.99
15.0～15.99
16.0～16.99
17.0～17.99
18.0～18.99
19.0～19.99
20.0～20.99
21.0～21.99
22.0～22.99
23.0～23.99
24.0～24.99
  25.0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～56.99
57.0～57.99
58.0～58.99
59.0～59.99
60.0～60.99
61.0～61.99
  62.0～
選択なし",Titleist,,,,,,ドライバー,"～56.99
57.0～57.99
58.0～58.99
59.0～59.99
60.0～60.99
61.0～61.99
  62.0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"フック
スクエア
オープン
選択なし",Titleist,,,,,,ドライバー,"フック
スクエア
オープン
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～139
140～149
150～159
160～169
170～179
180～189
190～199
  200～
選択なし",Titleist,,,,,,ドライバー,"～139
140～149
150～159
160～169
170～179
180～189
190～199
  200～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～39.99
40.0～40.49
40.5～40.99
41.0～41.49
41.5～41.99
42.0～42.49
42.5～42.99
43.0～43.49
43.5～43.99
  44.0～
選択なし",Titleist,,,,,,ドライバー,"～39.99
40.0～40.49
40.5～40.99
41.0～41.49
41.5～41.99
42.0～42.49
42.5～42.99
43.0～43.49
43.5～43.99
  44.0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～279
280～289
290～299
300～309
310～319
320～329
330～339
340～349
  350～
選択なし",Titleist,,,,,,ドライバー,"～279
280～289
290～299
300～309
310～319
320～329
330～339
340～349
  350～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～39
40～44
45～49
50～54
55～59
60～64
65～69
70～99
  100～
選択なし",Titleist,,,,,,ドライバー,"～39
40～44
45～49
50～54
55～59
60～64
65～69
70～99
  100～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～7
6.9～6.5
6.4～6
5.9～5.5
5.4～5
4.9～4.5
4.4～4
3.9～3.5
3.4～3
  2.9～
選択なし",Titleist,,,,,,ドライバー,"～7
6.9～6.5
6.4～6
5.9～5.5
5.4～5
4.9～4.5
4.4～4
3.9～3.5
3.4～3
  2.9～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"中調子
元調子
先調子
中元調子
中先調子
選択なし",Titleist,,,,,,ドライバー,"中調子
元調子
先調子
中元調子
中先調子
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～34
35～39
40～44
45～49
  50～
選択なし",Titleist,,,,,,ドライバー,"～34
35～39
40～44
45～49
  50～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～B9
C0～C4
C5～C9
D0～D4
D5～D9
  E0～
選択なし",Titleist,,,,,,ドライバー,"～B9
C0～C4
C5～C9
D0～D4
D5～D9
  E0～
選択なし",,,,,,,,,,,titleist.svg,,,,
